timestamp,px,py,vx,vy,pm1,pm2,pm3,pm4,vm1,vm2,vm3,vm4,dist_from_origin,dist_bin
1765850933.666037,1.9166565554215769,0.4588814064611408,-74.242487458867,-41.21257455413344,-250,-250,-150,255,0,0,0,0,1.9708233042655698,32
1765850412.9251194,-0.3178111169404543,-2.3470684031263227,-74.74408119199805,-40.546393472618846,-245,246,250,-251,0,0,0,0,2.3684877021012554,39
1765812503.108506,0.1699280490225613,-1.1078603096882271,-73.51829766133642,-40.27482804274921,-199,255,255,28,0,0,0,0,1.1208166699452273,18
1765764162.8158195,0.3554205854701228,-0.4452537071513034,-74.21757600329273,-40.539674368292445,-199,-142,56,-142,0,0,0,0,0.5697145393158783,9
1765786597.2606833,0.064563299389885,0.4680788051310164,-73.61254526534007,-41.15297719840245,255,255,255,255,0,0,0,0,0.4725105156935536,7
1765792804.087621,0.5081527792054903,-0.089913276038413,-73.77551750449094,-40.82952905685357,0,28,198,28,0,0,0,0,0.5160461648168927,8
1765767995.0618713,-0.1894381349316261,-0.02411958144983,-73.65227222063798,-41.07771726303271,-255,255,-255,255,0,0,0,0,0.1909674348565429,3
1765849878.7684135,0.1759312813047285,2.4234150667892327,-73.7900706248903,-41.05523161061935,210,-240,-240,245,0,0,0,0,2.4297926663982223,40
1765850173.282446,-0.2786098281270006,-2.3811226121975877,-74.33244863725562,-40.82102058586268,-245,249,245,-249,0,0,0,0,2.3973669578618164,39
1765845001.2135968,0.2786484836334565,-1.9778686524123303,-73.91831675832259,-40.893310306084665,-220,165,225,-225,0,0,0,0,1.9974006567603286,32
1765781505.555048,0.0778422715730346,1.802421648649419,-73.70150538486921,-40.06853819365045,255,-255,0,0,0,0,0,0,1.804101776165563,29
1765768217.6867528,-0.4896409257359466,-0.7919880888793738,-75.26375162856449,-41.3421066581536,-85,-170,-85,-255,0,0,0,0,0.9311247870625922,15
1765850651.2618396,-0.2706357424111828,-2.3588198297322456,-73.77990527604472,-41.21517254656307,-250,253,245,-253,0,0,0,0,2.3742945676997436,39
1765814152.9000902,-0.5525116944464318,-0.3569957841536981,-73.80612071853069,-41.265754328608665,113,255,28,-29,0,0,0,0,0.6578108865043061,10
1765848503.2740595,1.1831010558820876,1.214048521056855,-74.64068418967774,-40.80540265788488,-215,-215,-205,220,0,0,0,0,1.6951819725060926,27
